city,population_proper
"Danville, VA",41898
"Jewell Ridge, VA",
"Shipman, VA",
"Quantico, VA",540
"Rice, VA",
"Triangle, VA",
"Ingram, VA",
"Ivy, VA",
"Ettrick, VA",
"Harborton, VA",
"Dendron, VA",249
"Prince George, VA",
"Flint Hill, VA",
"Quinby, VA",
"Wise, VA",3083
"Sedley, VA",
"Dale City, VA",
"Mechanicsville, VA",
"Lafayette, VA",
"Nathalie, VA",
"Manassas, VA",41483
"Mount Sidney, VA",
"Lakeside, VA",
"Colonial Beach, VA",3571
"Central Point, VA",
"Lowes Island, VA",
"Suffolk, VA",89273
"Burkes Garden, VA",
"Ivanhoe, VA",
"Chase City, VA",2279
"Saint Charles, VA",117
"Clinchport, VA",66
"Blairs, VA",
"Merrifield, VA",
"Madison Heights, VA",
"Deep Creek, VA",
"Clarksville, VA",1186
"Moseley, VA",
"Hoadly, VA",
"Mitchelltown, VA",
"Lovingston, VA",
"Kent, VA",
"Independence, VA",923
"Harrisonburg, VA",53078
"Melfa, VA",398
"King George, VA",
"Newtown, VA",
"Clintwood, VA",1302
"White Stone, VA",342
"Pembroke, VA",1091
"Spring Garden, VA",
"Rocky Gap, VA",
"Dublin, VA",2683
"Wakefield, VA",872
"Dryden, VA",
